batch_type,motivation,towers,trial_start,stim_on,choice,key,trial_end,acc,rt,score
stable,NA,stim_set/hard-410.png,2.718264208000619,7.729463333002059,NA,NA,13.253558374999557,,,213.0
stable,NA,stim_set/hard-vcom=3-143.png,13.29882804099907,16.352850708004553,stand,left,19.36945445799938,correct,3.0593538750035805,
stable,NA,stim_set/hard-369.png,19.407653916001436,23.29614237500209,stand,left,26.317746332999377,incorrect,3.8994319169942173,
stable,NA,stim_set/hard-vcom=4-132.png,26.360642625004402,29.98615108300146,stand,left,33.00231829100085,correct,3.6313363750014105,
stable,NA,stim_set/hard-vcom=2-100.png,33.047363500001666,35.604482540999015,stand,left,38.62620949999837,correct,2.568529167001543,
stable,NA,stim_set/easy-228.png,38.66449100000318,41.619584166001005,fall,right,44.63603941600013,correct,2.960984165998525,
stable,NA,stim_set/easy-vcom=3-121.png,44.68273245800083,49.18613066599937,fall,right,52.20285862500168,correct,4.509233665994543,
stable,NA,stim_set/hard-576.png,52.241568249999546,57.2042112909985,fall,right,60.22539658300229,incorrect,4.973373332999472,
stable,NA,stim_set/easy-vcom=1-87.png,60.27241787499952,65.27927725000336,NA,NA,69.51606424999773,,,
stable,NA,stim_set/easy-8.png,69.55903891599883,71.58634020799946,fall,right,74.6022150830031,correct,2.0331311660047504,
stable,NA,stim_set/hard-599.png,74.64006474999769,76.50456191600097,stand,left,79.5256164579987,correct,1.8756328329982352,
stable,NA,stim_set/hard-492.png,79.57119491600315,81.71111295800074,stand,left,84.72745262500393,correct,2.146116500000062,
stable,NA,stim_set/easy-11.png,84.7717047910046,86.27937037499942,fall,right,89.3010623750015,correct,1.518617957997776,
stable,NA,stim_set/hard-214.png,89.34916691599938,90.70288512499974,stand,left,93.71960804099945,correct,1.359694999999192,
stable,NA,stim_set/hard-vcom=1-130.png,93.76290454099944,96.61962470800063,fall,right,99.63568254100392,incorrect,2.862784292003198,
stable,NA,stim_set/easy-239.png,99.6819019579998,101.37128154100355,fall,right,104.39322595800331,correct,1.7004255000065314,
stable,NA,stim_set/easy-122.png,104.43791604100261,105.786336707999,fall,right,108.80215499999758,incorrect,1.3540851249999832,
stable,NA,stim_set/hard-vcom=3-145.png,108.83929599999828,111.06962983300036,stand,left,114.08866045800096,incorrect,2.2366055000020424,
stable,NA,stim_set/hard-vcom=1-95.png,114.13248600000225,117.88608804099931,stand,left,120.90332029099955,correct,3.7598074170018663,
stable,NA,stim_set/hard-vcom=4-23.png,120.94742958300048,124.11946833300317,stand,left,127.13637862500036,correct,3.1784663330035983,
stable,NA,stim_set/easy-233.png,127.1840925409997,128.97115245799796,fall,right,131.9923460830032,correct,1.7979162499977974,
stable,NA,stim_set/hard-vcom=3-82.png,132.03884541599837,133.53637025000353,stand,left,136.5555085829983,correct,1.503064042000915,
stable,NA,stim_set/easy-344.png,136.59897966599965,137.878114500003,fall,right,140.8942473749994,correct,1.2847655830046278,
stable,NA,stim_set/easy-195.png,140.9379112079987,142.911379707999,fall,right,145.92776075000438,correct,1.9795097500027623,
stable,NA,stim_set/easy-vcom=3-106.png,145.97136575000332,147.4300247909996,stand,left,150.45123937500466,correct,1.4692015830005403,
stable,fall,stim_set/easy-vcom=1-87.png,166.85535574999813,169.35315704099776,fall,right,172.36905187500088,incorrect,2.503151707998768,
stable,fall,stim_set/hard-vcom=3-145.png,172.40560187499796,175.01314266600093,stand,left,178.03435120799986,incorrect,2.6186966669993126,
