towers,bet,condition,iti,corr_choice,corr_key,difficulty,block_start,trial_start,stim_on,acc,trial_end,rt,part_choice,part_key,confidence,block_end,updated_score
stim_set/easy-vcom=2-20.png,none.png,unmotivated,2.25,fall,left,easy,3.3329997677356005e-06,0.002630041999509558,5.075672208000469,incorrect,9.64977295800054,,,,,,210.0
stim_set/easy-vcom=4-19.png,none.png,unmotivated,3.25,fall,left,easy,,9.65100750000056,11.224025041999994,incorrect,17.411079041999983,1.5149602910005342,stand,right,4,,
stim_set/hard-vcom=2-137.png,none.png,unmotivated,3.0,fall,left,hard,,17.411782625000342,18.95032395800081,correct,24.200332207999963,1.4922782499997993,fall,left,3,,
stim_set/hard-vcom=3-34.png,none.png,unmotivated,2.0,fall,left,hard,,24.20088937500077,27.20119033300034,correct,33.04183470799944,2.9471479580006417,fall,left,2,,
stim_set/hard-564.png,none.png,unmotivated,3.75,stand,right,hard,,33.04246879200036,34.63207437500023,correct,40.9824399170011,1.532403624998551,stand,right,2,,
stim_set/hard-21.png,none.png,unmotivated,4.0,stand,right,hard,,40.98305120800069,45.33455404199958,correct,51.84847470800014,4.303678250000303,stand,right,2,,
stim_set/hard-vcom=3-145.png,none.png,unmotivated,2.75,fall,left,hard,,51.849022458000036,55.93251933300053,correct,60.99060516700047,4.037437375000081,fall,left,3,,
stim_set/easy-vcom=1-87.png,none.png,unmotivated,3.0,fall,left,easy,,60.991186375000325,63.73256033300095,incorrect,71.46977020800114,2.6856539999989764,stand,right,4,,
stim_set/hard-vcom=2-16.png,none.png,unmotivated,2.5,fall,left,hard,,71.47038862500085,75.44079704199976,correct,80.21301425000092,3.913177333999556,fall,left,2,,
stim_set/hard-91.png,none.png,unmotivated,2.25,stand,right,hard,,80.21352662500067,82.51583045799998,incorrect,87.04211029200087,2.247725208000702,fall,left,2,,
stim_set/hard-214.png,none.png,unmotivated,3.25,stand,right,hard,,87.0426040830007,91.05731591699987,correct,97.17873416700058,3.9583052920006594,stand,right,3,,
stim_set/hard-vcom=1-3.png,none.png,unmotivated,2.75,fall,left,hard,,97.17926979200092,99.39085104200058,correct,104.5910558329997,2.158183708001161,fall,left,1,,
stim_set/hard-441.png,none.png,unmotivated,2.5,stand,right,hard,,104.59169724999992,109.65916695800115,incorrect,113.48192500000005,,,,,,
stim_set/easy-344.png,none.png,unmotivated,4.0,stand,right,easy,,113.48245829200096,115.06581408300008,correct,121.32136508300027,1.5311086249985237,stand,right,4,,
stim_set/hard-177.png,none.png,unmotivated,2.0,stand,right,hard,,121.32202504199995,122.83253116699962,incorrect,127.16781141700085,1.4616632079996634,fall,left,3,,
stim_set/hard-321.png,none.png,unmotivated,2.25,stand,right,hard,,127.16836033300024,129.40742320800018,incorrect,134.97136608300025,2.1882327500006795,fall,left,4,,
stim_set/easy-vcom=4-69.png,none.png,unmotivated,2.25,fall,left,easy,,134.97217108299992,137.14088658299988,incorrect,141.90698216700002,2.1121793749989592,stand,right,3,,
stim_set/hard-vcom=1-30.png,none.png,unmotivated,3.75,fall,left,hard,,141.90753083300115,146.97594745800052,incorrect,152.09479954200106,,,,,,
