towers,bet,condition,iti,corr_choice,corr_key,difficulty,block_start,trial_start,stim_on,acc,rt,part_choice,part_key,confidence,trial_end,block_end,updated_score
stim_set/easy-vcom=3-142.png,none.png,unmotivated,2.75,fall,left,easy,3.875000402331352e-06,0.006580500001291512,3.7388027500001044,correct,3.678293124999982,fall,left,2,18.685488916000395,,225.0
stim_set/hard-vcom=4-75.png,none.png,unmotivated,2.5,fall,left,hard,,18.686791625001206,20.853418333001173,correct,2.1102657499995985,fall,left,4,28.849338500000158,,
stim_set/hard-391.png,none.png,unmotivated,2.25,stand,right,hard,,28.8499436660004,30.422288625000874,incorrect,1.5247771670001384,fall,left,4,35.942606000000524,,
stim_set/hard-564.png,none.png,unmotivated,3.75,stand,right,hard,,35.94308700000147,37.31190229100139,incorrect,1.3126463329990656,fall,left,4,45.164254500001334,,
stim_set/hard-244.png,none.png,unmotivated,3.25,stand,right,hard,,45.16486466600145,50.238780916000906,incorrect,,,,,56.38750879100007,,
stim_set/hard-334.png,none.png,unmotivated,2.0,stand,right,hard,,56.38812787500137,58.5141007910006,incorrect,2.07890583399967,fall,left,3,64.5568349160003,,
stim_set/easy-vcom=1-87.png,none.png,unmotivated,3.0,fall,left,easy,,64.55740633300047,67.17851108300056,incorrect,2.565376208000089,stand,right,2,74.41509225000118,,
stim_set/easy-vcom=2-20.png,none.png,unmotivated,2.25,fall,left,easy,,74.41566304099979,76.66331983300006,correct,2.20102337499884,fall,left,2,83.52699079100057,,
stim_set/hard-599.png,none.png,unmotivated,3.0,stand,right,hard,,83.52753533299983,85.49698825000087,correct,1.9283989169998677,stand,right,3,94.99040558300112,,
stim_set/easy-vcom=1-73.png,none.png,unmotivated,2.5,fall,left,easy,,94.99112650000097,96.62021241600087,correct,1.5822687500003667,fall,left,4,105.92389100000037,,
stim_set/easy-344.png,none.png,unmotivated,4.0,stand,right,easy,,105.92443641600039,108.12867908299995,correct,2.1530477079995762,stand,right,4,115.34051791599995,,
stim_set/easy-538.png,none.png,unmotivated,2.5,stand,right,easy,,115.34124108300057,116.46366183300051,correct,1.0769067500004894,stand,right,5,122.52985325000009,,
stim_set/hard-78.png,none.png,unmotivated,2.25,stand,right,hard,,122.53042825000011,123.78030150000086,incorrect,1.2004731249999168,fall,left,1,129.6717740410004,,
stim_set/easy-280.png,none.png,unmotivated,3.0,stand,right,easy,,129.67233124999984,131.98696679100067,correct,2.2626983339996514,stand,right,5,138.653019708001,,
stim_set/easy-vcom=3-38.png,none.png,unmotivated,2.5,fall,left,easy,,138.65381120799975,141.39542320800138,correct,2.68486912499975,fall,left,4,147.4893110410012,,
stim_set/hard-vcom=3-82.png,none.png,unmotivated,2.25,fall,left,hard,,147.49004950000017,148.80372941600035,correct,1.2584118750000926,fall,left,5,155.55974529100058,,
