sub,towers,mot_type
1016,stim_set/hard-vcom=4-22.png,motcon
1016,stim_set/hard-441.png,motcon
1016,stim_set/hard-vcom=2-95.png,motcon
1016,stim_set/easy-586.png,motincon
1016,stim_set/hard-vcom=4-139.png,motcon
1016,stim_set/hard-vcom=4-147.png,motcon
1016,stim_set/easy-304.png,motincon
1016,stim_set/hard-286.png,motcon
1016,stim_set/hard-280.png,motincon
1016,stim_set/hard-600.png,motcon
1016,stim_set/hard-vcom=4-27.png,motincon
1016,stim_set/easy-28.png,motincon
1016,stim_set/hard-78.png,motcon
1016,stim_set/easy-411.png,motincon
1016,stim_set/easy-164.png,motincon
1016,stim_set/hard-440.png,motincon
1016,stim_set/hard-555.png,motcon
1016,stim_set/hard-14.png,motcon
1016,stim_set/hard-vcom=3-142.png,motcon
1016,stim_set/easy-vcom=1-12.png,motcon
1016,stim_set/hard-vcom=1-92.png,motincon
1016,stim_set/easy-318.png,motincon
1016,stim_set/easy-vcom=2-73.png,motcon
1016,stim_set/hard-vcom=4-88.png,motcon
1016,stim_set/easy-542.png,motincon
1016,stim_set/hard-vcom=4-22.png,motcon
1016,stim_set/hard-441.png,motcon
1016,stim_set/hard-vcom=2-95.png,motcon
1016,stim_set/easy-586.png,motincon
1016,stim_set/hard-vcom=4-139.png,motcon
1016,stim_set/hard-vcom=4-147.png,motcon
1016,stim_set/easy-304.png,motincon
1016,stim_set/hard-286.png,motcon
1016,stim_set/hard-280.png,motincon
1016,stim_set/hard-600.png,motcon
1016,stim_set/hard-vcom=4-27.png,motincon
1016,stim_set/easy-28.png,motincon
1016,stim_set/hard-78.png,motcon
1016,stim_set/easy-411.png,motincon
1016,stim_set/easy-164.png,motincon
1016,stim_set/hard-440.png,motincon
1016,stim_set/hard-555.png,motcon
1016,stim_set/hard-14.png,motcon
1016,stim_set/hard-vcom=3-142.png,motcon
1016,stim_set/easy-vcom=1-12.png,motcon
1016,stim_set/hard-vcom=1-92.png,motincon
1016,stim_set/easy-318.png,motincon
1016,stim_set/easy-vcom=2-73.png,motcon
1016,stim_set/hard-vcom=4-88.png,motcon
1016,stim_set/easy-542.png,motincon
1016,stim_set/hard-vcom=4-22.png,motcon
1016,stim_set/hard-441.png,motcon
1016,stim_set/hard-vcom=2-95.png,motcon
1016,stim_set/easy-586.png,motincon
1016,stim_set/hard-vcom=4-139.png,motcon
1016,stim_set/hard-vcom=4-147.png,motcon
1016,stim_set/easy-304.png,motincon
1016,stim_set/hard-286.png,motcon
1016,stim_set/hard-280.png,motincon
1016,stim_set/hard-600.png,motcon
1016,stim_set/hard-vcom=4-27.png,motincon
1016,stim_set/easy-28.png,motincon
1016,stim_set/hard-78.png,motcon
1016,stim_set/easy-411.png,motincon
1016,stim_set/easy-164.png,motincon
1016,stim_set/hard-440.png,motincon
1016,stim_set/hard-555.png,motcon
1016,stim_set/hard-14.png,motcon
1016,stim_set/hard-vcom=3-142.png,motcon
1016,stim_set/easy-vcom=1-12.png,motcon
1016,stim_set/hard-vcom=1-92.png,motincon
1016,stim_set/easy-318.png,motincon
1016,stim_set/easy-vcom=2-73.png,motcon
1016,stim_set/hard-vcom=4-88.png,motcon
1016,stim_set/easy-542.png,motincon
1016,stim_set/hard-vcom=4-22.png,motcon
1016,stim_set/hard-441.png,motcon
1016,stim_set/hard-vcom=2-95.png,motcon
1016,stim_set/easy-586.png,motincon
1016,stim_set/hard-vcom=4-139.png,motcon
1016,stim_set/hard-vcom=4-147.png,motcon
1016,stim_set/easy-304.png,motincon
1016,stim_set/hard-286.png,motcon
1016,stim_set/hard-280.png,motincon
1016,stim_set/hard-600.png,motcon
1016,stim_set/hard-vcom=4-27.png,motincon
1016,stim_set/easy-28.png,motincon
1016,stim_set/hard-78.png,motcon
1016,stim_set/easy-411.png,motincon
1016,stim_set/easy-164.png,motincon
1016,stim_set/hard-440.png,motincon
1016,stim_set/hard-555.png,motcon
1016,stim_set/hard-14.png,motcon
1016,stim_set/hard-vcom=3-142.png,motcon
1016,stim_set/easy-vcom=1-12.png,motcon
1016,stim_set/hard-vcom=1-92.png,motincon
1016,stim_set/easy-318.png,motincon
1016,stim_set/easy-vcom=2-73.png,motcon
1016,stim_set/hard-vcom=4-88.png,motcon
1016,stim_set/easy-542.png,motincon
1016,stim_set/hard-vcom=4-22.png,motcon
1016,stim_set/hard-441.png,motcon
1016,stim_set/hard-vcom=2-95.png,motcon
1016,stim_set/easy-586.png,motincon
1016,stim_set/hard-vcom=4-139.png,motcon
