"image","sub","r","cat","type","stability"
"hard-2","1018","0.18038902097824","2","within","fall"
"hard-2","1018","0.114079952546665","2","between","fall"
"hard-2","1019","0.587968062855172","2","within","fall"
"hard-2","1019","0.440681122480812","2","between","fall"
"hard-2","1022","0.798910866709221","2","within","fall"
"hard-2","1022","0.600251635540364","2","between","fall"
"hard-2","1023","0.0470985123594874","2","within","fall"
"hard-2","1023","0.312089731357993","2","between","fall"
"hard-2","1031","0.950477017830452","2","within","fall"
"hard-2","1031","0.740270483367713","2","between","fall"
"hard-2","1033","0.646282658249642","2","within","fall"
"hard-2","1033","0.689621368000102","2","between","fall"
"hard-2","1034","0.589807199399226","2","within","fall"
"hard-2","1034","0.721586571684772","2","between","fall"
"hard-2","1038","0.646966832957833","2","within","fall"
"hard-2","1038","0.452946997036754","2","between","fall"
"hard-2","1039","0.631433541518477","2","within","fall"
"hard-2","1039","0.7278062288459","2","between","fall"
"hard-2","1040","0.0848439117833591","2","within","fall"
"hard-2","1040","-0.128888727282714","2","between","fall"
"hard-2","1041","0.272070440571418","2","within","fall"
"hard-2","1041","0.301414725339431","2","between","fall"
"hard-2","1043","-0.0548481425995803","2","within","fall"
"hard-2","1043","-0.0442560232001675","2","between","fall"
"hard-371","1018","0.0324861836681377","1","within","fall"
"hard-371","1018","0.632148677120371","1","between","fall"
"hard-371","1019","0.32383088905866","1","within","fall"
"hard-371","1019","0.0435021328768233","1","between","fall"
"hard-371","1022","0.257538315350069","1","within","fall"
"hard-371","1022","0.124243673361718","1","between","fall"
"hard-371","1023","-0.0960114335541579","1","within","fall"
"hard-371","1023","-0.0794834976031996","1","between","fall"
"hard-371","1031","0.960566560300342","1","within","fall"
"hard-371","1031","0.0811698641659484","1","between","fall"
"hard-371","1033","0.179765198717188","1","within","fall"
"hard-371","1033","0.610320434072944","1","between","fall"
"hard-371","1034","0.562279470863163","1","within","fall"
"hard-371","1034","0.250933031156977","1","between","fall"
"hard-371","1038","-0.101265917714241","1","within","fall"
"hard-371","1038","-0.10070594129093","1","between","fall"
"hard-371","1039","0.800110907603404","1","within","fall"
"hard-371","1039","0.380511668555509","1","between","fall"
"hard-371","1040","0.14653626671668","1","within","fall"
"hard-371","1040","-0.00850177385190206","1","between","fall"
"hard-371","1041","-0.0678886057373223","1","within","fall"
"hard-371","1041","-0.0820563323833679","1","between","fall"
"hard-371","1043","0.0659283542218747","1","within","fall"
"hard-371","1043","0.0186896473444612","1","between","fall"
"hard-vcom=2-20","1018","0.954820280469138","2","within","fall"
"hard-vcom=2-20","1018","-0.109713464742699","2","between","fall"
"hard-vcom=2-20","1019","0.240921646710799","2","within","fall"
"hard-vcom=2-20","1019","0.035390669516624","2","between","fall"
"hard-vcom=2-20","1022","0.344469540261777","2","within","fall"
"hard-vcom=2-20","1022","0.0891715021740701","2","between","fall"
"hard-vcom=2-20","1023","0.65119021551228","2","within","fall"
"hard-vcom=2-20","1023","-0.087809553419171","2","between","fall"
"hard-vcom=2-20","1031","0.944023288339863","2","within","fall"
"hard-vcom=2-20","1031","-0.055117709382328","2","between","fall"
"hard-vcom=2-20","1033","0.67244382122001","2","within","fall"
"hard-vcom=2-20","1033","-0.054893923779515","2","between","fall"
"hard-vcom=2-20","1034","0.642093383236001","2","within","fall"
"hard-vcom=2-20","1034","-0.0774354915919079","2","between","fall"
"hard-vcom=2-20","1038","-0.116083879835459","2","within","fall"
"hard-vcom=2-20","1038","-0.134911374328709","2","between","fall"
"hard-vcom=2-20","1039","-0.0994023239965691","2","within","fall"
"hard-vcom=2-20","1039","0.215348603953096","2","between","fall"
"hard-vcom=2-20","1040","-0.103511580691167","2","within","fall"
"hard-vcom=2-20","1040","0.0064749160140451","2","between","fall"
"hard-vcom=2-20","1041","0.459108228568087","2","within","fall"
"hard-vcom=2-20","1041","0.0599901332182704","2","between","fall"
"hard-vcom=2-20","1043","0.650804553451405","2","within","fall"
"hard-vcom=2-20","1043","-0.0875817826520926","2","between","fall"
"easy-121","1018","-0.0772985086950168","1","within","fall"
"easy-121","1018","0.25061578438897","1","between","fall"
"easy-121","1019","0.119375166213127","1","within","fall"
"easy-121","1019","0.52269497448178","1","between","fall"
"easy-121","1022","0.596593509344841","1","within","fall"
"easy-121","1022","0.868840167618245","1","between","fall"
"easy-121","1023","0.566009223012095","1","within","fall"
"easy-121","1023","0.813010888800203","1","between","fall"
"easy-121","1031","0.959314275382193","1","within","fall"
"easy-121","1031","0.601753236979439","1","between","fall"
"easy-121","1033","0.708437663797859","1","within","fall"
"easy-121","1033","0.836323908151592","1","between","fall"
"easy-121","1034","0.659924511159124","1","within","fall"
"easy-121","1034","0.724235147603262","1","between","fall"
"easy-121","1038","0.537636423080242","1","within","fall"
"easy-121","1038","0.968809648822783","1","between","fall"
"easy-121","1039","0.643627890900413","1","within","fall"
"easy-121","1039","0.944531256949681","1","between","fall"
"easy-121","1040","-0.127488863122888","1","within","fall"
"easy-121","1040","-0.201510360048356","1","between","fall"
"easy-121","1041","0.703274721448997","1","within","fall"
"easy-121","1041","0.829215038411214","1","between","fall"
"easy-121","1043","0.630818832545789","1","within","fall"
"easy-121","1043","0.91226030988711","1","between","fall"
"hard-556","1018","0.562035190495759","2","within","fall"
"hard-556","1018","0.368592087328939","2","between","fall"
"hard-556","1019","0.370310759009369","2","within","fall"
"hard-556","1019","-0.0987133999311213","2","between","fall"
"hard-556","1022","0.499083320719706","2","within","fall"
"hard-556","1022","0.272652310508038","2","between","fall"
