"sub","response","stimulus","bet","block","motivation"
1,"0","1hard-321-ss.png","""","neut","neutral"
1,"0","1hard-vcom=4-139-fs.png","""","neut","neutral"
1,"0","1hard-vcom=2-16-fs.png","""","neut","neutral"
1,"1","1easy-vcom=4-19-ff.png","""","neut","neutral"
1,"0","2hard-vcom=2-20-ff.png","""","neut","neutral"
1,"0","1hard-vcom=3-82-fs.png","""","neut","neutral"
1,"0","1hard-214-ss.png","""","neut","neutral"
1,"0","1hard-vcom=2-110-ff.png","""","neut","neutral"
1,"0","1hard-570-sf.png","""","neut","neutral"
1,"0","1hard-132-sf.png","""","neut","neutral"
1,"1","1hard-vcom=3-145-ff.png","""","neut","neutral"
1,"1","1easy-vcom=1-73-fs.png","""","neut","neutral"
1,"1","1hard-2-ss.png","""","neut","neutral"
1,"1","1easy-vcom=4-69-fs.png","""","neut","neutral"
1,"0","2hard-21-sf.png","""","neut","neutral"
1,"0","1hard-vcom=1-30-ff.png","""","neut","neutral"
1,"0","1easy-vcom=1-12-ff.png","""","neut","neutral"
1,"1","1hard-91-ss.png","""","neut","neutral"
1,"1","1hard-49-sf.png","""","neut","neutral"
1,"0","1hard-566-ss.png","""","neut","neutral"
1,"1","2easy-vcom=4-126-ff.png","""","neut","neutral"
1,"1","1easy-vcom=3-38-fs.png","""","neut","neutral"
1,"1","1hard-441-ss.png","""","neut","neutral"
1,"0","1hard-40-ss.png","""","neut","neutral"
1,"0","1hard-7-sf.png","""","neut","neutral"
1,"0","1hard-vcom=2-137-fs.png","""","neut","neutral"
1,"1","2hard-82-sf.png","""","neut","neutral"
1,"1","1easy-77-sf.png","""","neut","neutral"
1,"1","1hard-492-sf.png","""","neut","neutral"
1,"1","1hard-369-ss.png","""","neut","neutral"
1,"0","1easy-vcom=2-20-fs.png","""","neut","neutral"
1,"1","1easy-13-ss.png","""","neut","neutral"
1,"0","1easy-411-sf.png","""","neut","neutral"
1,"0","1hard-vcom=1-136-ff.png","""","neut","neutral"
1,"1","1easy-344-ss.png","""","neut","neutral"
1,"1","1easy-vcom=3-15-ff.png","""","neut","neutral"
1,"0","1hard-vcom=3-34-ff.png","""","neut","neutral"
1,"0","1hard-vcom=4-23-fs.png","""","neut","neutral"
1,"1","1hard-vcom=1-50-fs.png","""","neut","neutral"
1,"1","1easy-13-ss.png","STAND","coop","stand"
1,"0","1hard-566-ss.png","STAND","coop","stand"
1,"1","1easy-77-sf.png","FALL","coop","fall"
1,"1","1hard-2-ss.png","STAND","coop","stand"
1,"0","1easy-vcom=1-12-ff.png","FALL","coop","fall"
1,"1","1easy-vcom=3-38-fs.png","STAND","coop","stand"
1,"1","2easy-vcom=4-126-ff.png","FALL","coop","fall"
1,"1","1easy-344-ss.png","STAND","coop","stand"
1,"0","1hard-49-sf.png","FALL","coop","fall"
1,"1","1hard-vcom=2-16-fs.png","STAND","coop","stand"
1,"1","1hard-vcom=4-139-fs.png","STAND","coop","stand"
1,"0","1hard-vcom=4-23-fs.png","STAND","coop","stand"
1,"1","1easy-vcom=4-69-fs.png","STAND","coop","stand"
1,"1","1easy-vcom=4-19-ff.png","FALL","coop","fall"
1,"0","1hard-vcom=2-137-fs.png","STAND","coop","stand"
1,"0","1hard-vcom=1-30-ff.png","FALL","coop","fall"
